1.5,30
2.5,23
8,27.5
9,20.5
13.5,32.5
14.5,25
16.5,18
19.5,29
22.5,23
26.3333333333333,32.3333333333333
30,26
35.5,31
37,24.5
43,29.5
44.5,23.5
46.5,17
50.5,28
56,8.5
56,33.5
57.6666666666667,26.3333333333333
63.5,32
65.3333333333333,24.6666666666667
68,18
70.5,29
73.3333333333333,22.6666666666667
76.6666666666667,33.6666666666667
79,28.5
81,21.5
84,32.5
86.5,26
88,19
101.5,23
102.5,16
103,31
108.666666666667,26.6666666666667
114,23.5
127,25.5
129.5,33
134,16
140.5,26
141.333333333333,32.3333333333333
147.333333333333,16.3333333333333
147,23
147.5,29
155,32
170,25
172.666666666667,18.3333333333333
177.5,24
180.5,18.5
181,30
184.666666666667,24.3333333333333
187.5,18.5
188.333333333333,30.3333333333333
192.333333333333,24.6666666666667
195,19
195.5,31
199,25.5
203.5,31.5
207.5,7
211,27
222,32.5
239,31
243.5,27
246,33
251,12
257.5,30
276.333333333333,31.6666666666667
278,18.5
282,29
283.5,23
285,16
287,9
289,27
289,33
291,20.5
295.5,31
296.666666666667,24.6666666666667
301.5,34.5
302,28.5
303,22
305,16
305,9
307.5,32.5
313.5,25
314,31
317,18.5
321,24
325.5,20
327,26.5
331,22.5
334,29
336.166666666667,17.3333333333333
338.5,23
341,29
344,18.5
346,24
349,29
351.5,18
355.333333333333,31.3333333333333
361.5,9.5
362.5,20
363,29.5
369,32
373.5,26
376.5,32
380.5,15.5
381,26.5
383.666666666667,32.6666666666667
391,33.5
395.666666666667,16.6666666666667
395.5,27
397.5,34.5
401,21.5
402,29
407.5,18
408.5,25
408.5,31
415,27.5
416,34
421.333333333333,23.3333333333333
422.5,30
427,15
428,34
429.5,27.5
434,17.5
434,34
438,28
441,33.5
445,27.5
449,22
448,34
461.5,18
473,26
476.666666666667,31.6666666666667
477,20.5
480.5,26.5
484.5,32
490.2,18.4
514,30
1.5,55
1.66666666666666,104.333333333333
1.5,130.5
3,48.5
3.5,92.5
4,61
4.5,42
4,73.5
4,124
6,86
6.5,35
6.5,142
7,67
7.5,109.5
7.5,135
8.66666666666666,97.6666666666667
9,55
9,79.5
9,104.5
9,128.5
10,46.5
11.5,73
11.3333333333333,91.3333333333333
11,121.5
12.5,39.5
12,61
13.5,84
13,115
13.5,139
14,67
14.6666666666667,101.333333333333
14.6666666666667,108.333333333333
15,132.75
15.6666666666667,50.6666666666667
16.5,126
17.5,57
17,77.5
17,95
18.5,120
19.5,36.5
19.5,43.5
19.3333333333333,63.3333333333333
19.5,89
19.5,143
20,70
20,113.5
21.5,82
21.5,107
21,137
22.3333333333333,52.3333333333333
22,130
23,100.5
24.6666666666667,59.3333333333333
24,75
24.5,93.5
24,124
25.5,39.5
25,118
26.5,47
26.25,68.25
26.5,141
27,87
27,111.5
27.5,134
28.5,80.5
28,105
29,54
29,128.5
30,98.5
30,122
31.5,43
31,74
31.5,145
32.5,36.5
32,60.5
32.5,92
32,116
33.6666666666667,48.6666666666667
33,68
33.3333333333333,109.666666666667
33,139
34,85
35,103.5
35.5,127
35,133
36.5,54
36.5,79
37,97
37,120.5
38.6666666666667,42.3333333333333
38.5,73
38.5,114
38.6666666666667,143.333333333333
39.3333333333333,60.3333333333333
39.5,67
39.5,90.5
40.5,35.5
40.5,108
40,137
41.6666666666667,48.6666666666667
41.5,84
41,131
42.5,101.5
42.5,125
43.5,77.5
43,119
44,55.5
44.5,95.5
45.5,41
45,63
45.5,142
46,71
46.3333333333333,88.6666666666667
46,113
46.6666666666667,135.666666666667
47.5,106.5
47.6666666666667,129.666666666667
48,35
48,82
49.5,46
49.5,100
49,123.5
50,52.5
50.5,59
50,65.5
50,76
51,117.5
51.5,140
52,93.5
53,40
53,70.5
53.5,88
53,111
53,133.5
54,104.5
55,48
55.5,81.5
55,128
56,63.5
56.5,98
56,122
57.5,56
57.3333333333333,75.3333333333333
57,144
58,116
58,138
59.3333333333333,43.6666666666667
59,92.5
59.5,109
60.5,69
60,132
61,38
61.5,50
61,86
61.5,103
